status,comments,hour,photo,age,shares,link,likes,video,type,day,str_length,newlines
0,727,14,1,1376837844,1163,0,2957,0,4,6,265,4
0,336,21,1,1376775503,208,0,500,0,4,5,237,2
0,201,15,1,1376753066,2331,0,4517,0,4,5,304,2
0,189,17,1,1376675745,150,0,503,0,4,4,230,2
0,301,16,1,1376671203,994,0,1310,0,4,4,259,9
0,138,15,1,1376666396,282,0,1492,0,4,4,168,4
0,68,13,1,1376660629,66,0,294,0,4,4,278,4
1,243,12,0,1376655885,188,0,424,0,4,4,229,2
1,189,09,0,1376645400,52,0,342,0,4,4,403,4
0,202,22,1,1376606800,78,0,263,0,4,3,115,0
1,339,19,0,1376593222,397,0,719,0,4,3,277,4
0,458,17,1,1376587000,3217,0,6705,0,4,3,272,2
0,133,16,1,1376582948,387,0,744,0,4,3,221,4
0,105,14,1,1376578133,526,0,952,0,4,3,268,2
0,70,13,1,1376573639,93,0,235,0,4,3,233,2
0,64,12,1,1376569251,112,0,268,0,4,3,309,2
0,118,01,1,1376529872,200,0,1056,0,4,3,359,5
1,673,00,0,1376525207,2915,0,3669,0,4,3,194,0
0,512,20,1,1376513219,1689,0,2281,0,4,2,232,4
0,62,19,1,1376508871,242,0,707,0,4,2,292,6
1,204,17,0,1376503186,379,0,845,0,4,2,239,2
0,65,16,1,1376498303,306,0,562,0,4,2,184,2
0,183,15,1,1376492582,792,0,1018,0,4,2,270,4
0,69,14,1,1376489443,192,0,574,0,4,2,303,6
0,252,13,1,1376487858,186,0,347,0,4,2,327,2
0,260,11,1,1376481040,943,0,1145,0,4,2,245,2
0,78,09,1,1376472602,237,0,516,0,4,2,353,6
1,219,21,0,1376427918,176,0,542,0,4,1,260,2
0,27,20,1,1376425268,101,0,462,0,4,1,255,4
1,117,18,0,1376418347,731,0,1354,0,4,1,192,0
0,126,16,1,1376412275,1314,0,1445,0,4,1,241,2
0,136,15,1,1376406720,2074,0,2395,0,4,1,203,4
0,467,13,1,1376401933,1475,0,3486,0,4,1,358,6
0,317,12,1,1376398183,1124,0,2189,0,4,1,439,4
0,50,09,1,1376386201,231,0,427,0,4,1,363,6
0,24,08,1,1376384029,101,0,287,0,4,1,57,0
0,297,01,1,1376357267,840,0,1775,0,4,1,361,6
0,21,21,1,1376341786,299,0,1079,0,4,0,302,2
1,268,19,0,1376337169,327,0,902,0,4,0,201,2
0,171,17,1,1376329402,846,0,1752,0,4,0,242,4
0,101,16,1,1376325048,279,0,390,0,4,0,279,2
0,37,15,1,1376320600,146,0,311,0,4,0,277,4
0,101,13,1,1376315858,1238,0,1718,0,4,0,321,2
0,168,12,1,1376312006,1155,0,1590,0,4,0,205,4
0,278,09,1,1376299800,326,0,2529,0,4,0,304,6
0,193,01,1,1376271127,362,0,810,0,4,0,380,6
0,43,16,1,1376240058,145,0,456,0,4,6,303,4
0,665,01,1,1376184966,1909,0,2862,0,4,6,337,4
0,183,19,1,1376163644,770,0,944,0,4,5,400,2
0,195,15,1,1376149651,502,0,1066,0,4,5,357,4
0,144,20,1,1376080195,111,0,544,0,4,4,324,4
1,92,18,0,1376074739,199,0,836,0,4,4,166,0
0,78,17,1,1376070675,228,0,719,0,4,4,222,2
1,141,16,0,1376065006,251,0,765,0,4,4,231,2
0,75,14,1,1376058303,1069,0,1907,0,4,4,264,2
0,46,11,1,1376049078,198,0,322,0,4,4,305,2
0,473,09,1,1376040600,2187,0,3101,0,4,4,178,2
0,491,01,1,1376010016,742,0,846,0,4,4,322,4
0,128,20,1,1375994460,1374,0,3381,0,4,3,242,4
0,145,18,1,1375985969,718,0,877,0,4,3,171,0
0,416,16,1,1375979406,1145,0,1899,0,4,3,236,2
0,120,15,1,1375975252,199,0,407,0,4,3,382,7
0,23,14,1,1375971527,184,0,630,0,4,3,167,2
0,104,11,1,1375963018,392,0,463,0,4,3,211,2
0,89,09,1,1375954200,122,0,470,0,4,3,383,5
0,594,19,1,1375905142,2220,0,3560,0,4,2,239,4
0,95,19,1,1375904109,358,0,712,0,4,2,161,4
0,46,18,1,1375899927,220,0,299,0,4,2,273,4
0,133,17,1,1375894821,740,0,1041,0,4,2,181,4
1,154,15,0,1375890324,713,0,1176,0,4,2,257,2
0,84,14,1,1375886597,221,0,641,0,4,2,329,4
0,88,13,1,1375882125,230,0,475,0,4,2,230,2
0,69,12,1,1375876967,97,0,319,0,4,2,386,4
0,60,09,1,1375868400,426,0,879,0,4,2,355,4
0,44,20,1,1375819750,490,0,682,0,4,1,277,2
0,100,19,1,1375815807,213,0,422,0,4,1,288,6
1,426,16,0,1375807971,266,0,1037,0,2,1,336,2
0,121,15,1,1375802137,835,0,1434,0,4,1,332,4
0,121,14,1,1375799895,112,0,314,0,4,1,368,2
0,99,13,1,1375795994,198,0,469,0,4,1,354,5
0,85,11,1,1375789645,201,0,906,0,4,1,248,5
0,18,09,1,1375780791,69,0,297,0,4,1,411,3
0,75,20,1,1375734165,156,0,423,0,4,0,194,2
0,90,19,1,1375730563,122,0,488,0,4,0,422,4
0,44,17,1,1375724936,128,0,261,0,4,0,311,3
0,626,16,1,1375720032,1244,0,1448,0,4,0,366,4
0,198,15,1,1375716555,197,0,761,0,4,0,414,4
0,57,13,1,1375711150,125,0,303,0,4,0,412,4
0,204,12,1,1375706079,372,0,860,0,4,0,289,4
0,116,13,1,1375621918,297,0,565,0,4,6,347,4
0,87,20,1,1375562561,273,0,895,0,4,5,382,2
0,830,13,1,1375535573,4243,0,6224,0,4,5,413,4
0,417,20,1,1375476085,3164,0,4073,0,4,4,395,4
0,35,20,1,1375474658,168,0,729,0,4,4,201,2
1,74,18,0,1375469604,230,0,1159,0,4,4,173,0
0,163,17,1,1375463157,445,0,742,0,4,4,258,2
1,104,15,0,1375456649,835,0,773,0,4,4,171,0
1,264,14,0,1375453829,433,0,847,0,4,4,267,2
0,96,13,1,1375450036,461,0,525,0,4,4,376,4
0,79,12,1,1375445199,403,0,1896,0,4,4,251,4
0,225,10,1,1375437601,214,0,604,0,4,4,446,6
0,161,01,1,1375406954,224,0,821,0,4,4,367,5
0,139,20,1,1375390776,513,0,1048,0,4,3,334,4
0,181,19,1,1375385855,415,0,669,0,4,3,322,2
0,277,18,1,1375380910,246,0,736,0,4,3,386,4
0,84,16,1,1375375764,204,0,567,0,4,3,412,6
1,52,14,0,1375368980,104,0,374,0,4,3,235,2
