status,comments,hour,photo,age,shares,link,likes,video,string_length,type,day,newlines
0,4,14,1,1346489488,3,0,162,0,132,3,5,0
0,3,18,1,1346419386,12,0,184,0,73,3,4,0
0,8,19,1,1346334813,32,0,263,0,59,3,3,0
0,5,14,1,1346231278,1,0,267,0,26,3,2,0
0,1,04,1,1346193916,0,0,152,0,108,3,2,0
0,4,00,1,1345750166,0,0,173,0,165,3,4,3
0,2,17,1,1345549940,2,0,316,0,29,3,1,0
0,7,19,1,1345383500,30,0,366,0,90,3,6,0
0,9,16,1,1345201521,4,0,203,0,50,3,4,0
0,10,01,1,1345145821,2,0,304,0,27,3,4,0
0,26,09,1,1345003932,234,0,1349,0,59,3,2,1
0,0,13,0,1344932718,1,1,65,0,123,4,1,1
0,6,15,1,1344593912,34,0,294,0,129,3,4,0
0,3,16,1,1344424054,11,0,347,0,80,3,2,4
0,9,16,1,1344335748,31,0,556,0,25,3,1,0
0,6,13,1,1344066150,3,0,266,0,102,3,5,0
0,2,23,1,1343929495,22,0,400,0,87,3,3,0
0,12,19,1,1343828016,11,0,523,0,191,3,2,3
0,9,11,1,1343626491,3,0,417,0,53,3,0,0
0,18,17,1,1343216600,25,0,653,0,26,3,2,0
0,5,15,1,1343038718,22,0,532,0,22,3,0,0
0,15,18,1,1342789049,79,0,442,0,69,3,4,0
0,2,00,1,1342639029,12,0,301,0,29,3,3,0
0,4,12,0,1342595507,0,1,142,0,56,4,2,0
0,5,17,1,1342527849,22,0,341,0,25,3,1,0
0,6,18,1,1342442453,12,0,299,0,43,3,0,0
0,10,09,1,1342239837,14,0,401,0,22,3,5,0
0,8,14,1,1341910781,3,0,218,0,56,3,1,0
0,8,19,1,1341582350,19,0,473,0,111,3,4,1
0,9,11,1,1341467013,13,0,295,0,154,3,3,1
0,16,23,1,1341252174,23,0,756,0,61,3,0,1
0,31,13,1,1341129383,18,0,1233,0,76,3,6,0
0,38,19,1,1340977183,41,0,1103,0,46,3,4,0
0,1,13,1,1340956553,1,0,45,0,156,3,4,0
0,50,12,1,1340780979,38,0,1480,0,63,3,2,0
0,42,13,1,1340611606,74,0,1452,0,47,3,0,0
0,23,18,1,1340541834,14,0,848,0,39,3,6,0
0,49,13,1,1340438826,45,0,1228,0,45,3,5,0
0,8,18,1,1340284693,11,0,297,0,71,3,3,0
0,12,00,1,1340217478,15,0,374,0,38,3,3,0
0,30,19,1,1340113679,13,0,457,0,46,3,1,0
0,19,15,1,1340011836,39,0,533,0,55,3,0,0
0,19,18,1,1339679830,14,0,509,0,45,3,3,0
0,13,15,1,1339409996,30,0,506,0,37,3,0,0
0,7,12,1,1339313232,4,0,225,0,44,3,6,0
0,1,13,1,1338797332,0,0,203,0,43,3,0,0
0,19,11,1,1338443144,33,0,445,0,113,3,3,2
0,1,10,0,1337747735,0,1,47,0,272,4,2,0
0,2,12,0,1337671506,3,0,324,1,104,1,1,0
0,20,13,1,1337499350,24,0,495,0,63,3,6,0
0,7,13,0,1337414265,16,0,406,1,103,1,5,1
0,6,10,0,1337144053,12,1,439,0,68,4,2,0
0,9,19,0,1337003774,32,0,722,1,97,1,0,1
0,15,16,0,1335352470,17,0,325,1,148,1,2,3
0,2,19,0,1334931145,3,1,315,0,172,4,4,0
0,12,14,0,1334912362,1,1,243,0,143,4,4,2
0,1,14,0,1334739056,1,1,264,0,39,4,2,1
0,2,12,0,1334560236,2,0,38,1,93,1,0,0
0,9,18,1,1333975012,21,0,387,0,236,3,0,2
0,1,17,0,1333625859,1,0,197,1,203,4,3,2
0,49,18,1,1333546150,3,0,357,0,211,3,2,1
0,3,21,0,1333211190,1,1,217,0,209,4,5,0
0,11,22,0,1333128294,3,1,182,0,108,4,4,1
0,25,15,1,1333100185,18,0,512,0,19,3,4,0
0,1,19,0,1333028114,1,1,51,0,179,4,3,2
0,5,14,0,1332925760,12,0,244,1,69,1,2,0
0,6,16,0,1332501651,12,0,209,1,417,1,4,1
0,17,20,1,1332427832,2,0,357,0,107,3,3,0
0,18,11,0,1332224019,20,0,348,1,106,1,1,1
0,12,22,0,1331310767,22,0,459,1,39,1,4,1
0,4,09,0,1330316969,13,0,334,1,70,1,0,1
0,8,09,0,1330143961,30,0,334,1,66,1,5,0
0,7,11,0,1330062186,2,0,151,1,103,1,4,0
0,6,11,0,1329975136,13,0,177,1,97,1,3,0
0,0,18,1,1329657123,0,0,217,0,38,3,6,0
0,11,23,0,1329240601,15,0,273,1,54,1,1,0
0,8,15,1,1329213142,1,0,201,0,35,3,1,1
0,6,18,1,1328878597,20,0,265,0,37,3,4,0
0,6,10,1,1328675671,16,0,193,0,104,3,2,0
0,17,23,1,1328639314,15,0,336,0,19,3,1,0
0,3,15,1,1328610532,2,0,186,0,117,3,1,0
0,17,07,1,1328492202,12,0,280,0,30,3,0,0
0,15,12,1,1328424139,16,0,300,0,21,3,6,0
