status[2],comments,hour[3],photo[4],age[5],shares,videos[6],link[7],string_length[8],newlines[9],likes
0,5,0,1,1353090857,19,0,0,107,1,346
0,19,0,1,1353007581,15,0,0,35,0,984
0,10,17,1,1352981501,11,0,0,61,0,504
0,4,0,1,1352920984,3,0,0,29,0,207
0,14,18,1,1352897412,14,0,0,32,0,593
0,32,22,1,1352826435,35,0,0,29,0,1098
0,57,22,1,1352654319,58,0,0,29,0,2373
0,10,14,1,1352625444,4,0,0,42,0,582
0,16,0,1,1352486221,30,0,0,120,1,612
0,5,22,1,1352392204,22,0,0,26,0,279
0,1,15,1,1352281186,25,0,0,38,0,269
0,4,22,1,1352221800,13,0,0,94,1,190
0,1,12,1,1352184583,15,0,0,70,0,162
0,1,22,1,1352136161,3,0,0,45,0,200
0,3,14,1,1352104319,1,0,0,56,0,72
0,2,13,1,1352017410,1,0,0,78,0,128
0,0,22,1,1351875825,2,0,0,45,0,96
0,5,23,1,1351793488,3,0,0,72,1,349
0,0,18,1,1351773449,1,0,0,30,0,166
0,16,23,1,1351705336,5,0,0,66,0,643
0,1,1,1,1351626247,3,0,0,51,0,60
0,34,12,1,1351407544,26,0,0,17,0,961
0,17,0,1,1351278057,23,0,0,106,1,611
0,16,0,1,1351190037,28,0,0,157,3,610
0,22,2,1,1351113010,24,0,0,47,0,432
0,6,0,1,1351017162,17,0,0,50,0,321
0,4,0,1,1350932530,19,0,0,57,0,372
0,14,0,1,1350846348,37,0,0,38,0,481
0,14,0,1,1350760671,20,0,0,61,1,354
0,4,0,1,1350674339,18,0,0,47,0,211
0,9,17,1,1350563010,31,0,0,103,0,235
0,15,12,1,1350457645,20,0,0,23,0,525
0,1,1,1,1350418124,2,0,0,24,0,106
0,4,18,1,1350391021,15,0,0,98,0,117
0,5,23,1,1350323463,0,0,0,87,0,114
0,3,17,1,1350302981,23,0,0,46,0,138
0,8,17,1,1350130761,12,0,0,111,2,106
0,2,0,1,1350068780,31,0,0,34,0,168
0,0,20,0,1349966081,2,1,0,115,1,37
0,6,14,1,1349860470,6,0,0,70,0,121
0,51,18,1,1349788134,62,0,0,29,0,1321
0,1,16,1,1349693523,17,0,0,160,3,132
0,0,13,1,1349597427,11,0,0,40,0,109
0,11,12,1,1349506818,21,0,0,39,0,150
0,3,17,1,1349440015,29,0,0,28,0,148
0,0,23,1,1349375060,2,0,0,31,0,91
0,1,1,1,1349292650,3,0,0,34,0,65
0,1,9,1,1349238510,2,0,0,269,2,64
0,1,12,1,1349073257,13,0,0,88,0,134
0,4,12,1,1348988166,77,0,0,35,0,223
0,2,0,1,1348945434,2,0,0,25,0,110
0,0,14,1,1348910420,18,0,0,8,0,242
0,5,18,1,1348836006,13,0,0,53,0,106
0,12,9,1,1348717504,33,0,0,60,1,259
0,1,23,0,1348680687,2,0,1,181,4,41
0,3,16,1,1348569763,34,0,0,63,0,230
0,6,18,1,1348491097,18,0,0,51,0,175
0,2,10,0,1348461993,2,0,1,78,1,27
0,3,19,1,1348409544,3,0,0,44,0,211
0,1,18,1,1348318136,2,0,0,32,0,177
0,7,23,1,1348165121,37,0,0,26,0,262
0,5,22,1,1347988832,23,0,0,37,0,248
0,5,10,1,1347857851,36,0,0,50,1,368
0,6,22,1,1347643650,18,0,0,31,0,275
0,7,1,1,1347567326,2,0,0,85,0,192
0,7,0,1,1347388735,38,0,0,52,0,227
0,5,0,1,1347302513,2,0,0,56,0,161
0,3,16,1,1347273529,11,0,0,17,0,179
0,10,16,1,1347016180,13,0,0,84,1,206
0,5,17,1,1346934117,20,0,0,16,0,290
0,5,22,1,1346776631,11,0,0,40,0,224
0,2,15,1,1346668044,3,0,0,42,0,169
0,4,14,1,1346489488,3,0,0,132,0,162
0,3,18,1,1346419386,12,0,0,73,0,184
0,8,19,1,1346334813,32,0,0,59,0,263
0,5,14,1,1346231278,1,0,0,26,0,267
0,1,4,1,1346193916,0,0,0,108,0,152
0,4,0,1,1345750166,0,0,0,165,3,173
0,2,17,1,1345549940,2,0,0,29,0,316
0,7,19,1,1345383500,30,0,0,90,0,366
0,9,16,1,1345201521,4,0,0,50,0,203
0,10,1,1,1345145821,2,0,0,27,0,304
0,26,9,1,1345003932,234,0,0,59,1,1349
0,0,13,0,1344932718,1,0,1,123,1,65
0,6,15,1,1344593912,34,0,0,129,0,294
0,3,16,1,1344424054,11,0,0,80,4,347
0,9,16,1,1344335748,31,0,0,25,0,556
0,6,13,1,1344066150,3,0,0,102,0,266
0,2,23,1,1343929495,22,0,0,87,0,400
0,12,19,1,1343828016,11,0,0,191,3,523
0,9,11,1,1343626491,3,0,0,53,0,417
0,18,17,1,1343216600,25,0,0,26,0,653
0,5,15,1,1343038718,22,0,0,22,0,532
0,15,18,1,1342789049,79,0,0,69,0,442
0,2,0,1,1342639029,12,0,0,29,0,301
0,4,12,0,1342595507,0,0,1,56,0,142
0,5,17,1,1342527849,22,0,0,25,0,341
0,6,18,1,1342442453,12,0,0,43,0,299
0,10,9,1,1342239837,14,0,0,22,0,401
0,8,14,1,1341910781,3,0,0,56,0,218
0,8,19,1,1341582350,19,0,0,111,1,473
0,9,11,1,1341467013,13,0,0,154,1,295
0,16,23,1,1341252174,23,0,0,61,1,756
0,31,13,1,1341129383,18,0,0,76,0,1233
0,38,19,1,1340977183,41,0,0,46,0,1103
0,1,13,1,1340956553,1,0,0,156,0,45
0,50,12,1,1340780979,38,0,0,63,0,1480
0,42,13,1,1340611606,74,0,0,47,0,1452
0,23,18,1,1340541834,14,0,0,39,0,848
0,49,13,1,1340438826,45,0,0,45,0,1228
0,8,18,1,1340284693,11,0,0,71,0,297
0,12,0,1,1340217478,15,0,0,38,0,374
0,30,19,1,1340113679,13,0,0,46,0,457
0,19,15,1,1340011836,39,0,0,55,0,533
0,19,18,1,1339679830,14,0,0,45,0,509
0,13,15,1,1339409996,30,0,0,37,0,506
0,7,12,1,1339313232,4,0,0,44,0,225
0,1,13,1,1338797332,0,0,0,43,0,203
0,19,11,1,1338443144,33,0,0,113,2,445
0,1,10,0,1337747735,0,0,1,272,0,47
0,2,12,0,1337671506,3,1,0,104,0,324
0,20,13,1,1337499350,24,0,0,63,0,495
0,7,13,0,1337414265,16,1,0,103,1,406
0,6,10,0,1337144053,12,0,1,68,0,439
0,9,19,0,1337003774,32,1,0,97,1,722
0,15,16,0,1335352470,17,1,0,148,3,325
0,2,19,0,1334931145,3,0,1,172,0,315
0,12,14,0,1334912362,1,0,1,143,2,243
0,1,14,0,1334739056,1,0,1,39,1,264
0,2,12,0,1334560236,2,1,0,93,0,38
0,9,18,1,1333975012,21,0,0,236,2,387
0,1,17,0,1333625859,1,1,1,203,2,197
0,49,18,1,1333546150,3,0,0,211,1,357
0,3,21,0,1333211190,1,0,1,209,0,217
0,11,22,0,1333128294,3,0,1,108,1,182
0,25,15,1,1333100185,18,0,0,19,0,512
0,1,19,0,1333028114,1,0,1,179,2,51
0,5,14,0,1332925760,12,1,0,69,0,244
0,6,16,0,1332501651,12,1,0,417,1,209
0,17,20,1,1332427832,2,0,0,107,0,357
0,18,11,0,1332224019,20,1,0,106,1,348
0,12,22,0,1331310767,22,1,0,39,1,459
0,4,9,0,1330316969,13,1,0,70,1,334
0,8,9,0,1330143961,30,1,0,66,0,334
0,7,11,0,1330062186,2,1,0,103,0,151
0,6,11,0,1329975136,13,1,0,97,0,177
0,0,18,1,1329657123,0,0,0,38,0,217
0,11,23,0,1329240601,15,1,0,54,0,273
0,8,15,1,1329213142,1,0,0,35,1,201
0,6,18,1,1328878597,20,0,0,37,0,265
0,6,10,1,1328675671,16,0,0,104,0,193
0,17,23,1,1328639314,15,0,0,19,0,336
0,3,15,1,1328610532,2,0,0,117,0,186
0,17,7,1,1328492202,12,0,0,30,0,280
0,15,12,1,1328424139,16,0,0,21,0,300
